ra,dec,mjd_u,u,g,r,i,z,objID
12.1915405759713,-0.762440397971954,53694.27619189,21.6676,20.4279,19.08565,18.35637,17.89861,8658195547724644399
12.1915441824586,-0.762411602845785,52522.3496758,22.88903,20.63455,19.16868,18.44812,18.05952,8658466040448876700
12.1915450817994,-0.762408600414603,53622.3548800931,25.81562,20.68059,19.22997,18.51421,18.12145,8658194259230916697
12.1915451503644,-0.762411806157897,54020.29068165,23.16117,20.47899,19.216,18.41309,18.01085,8658197974382936143
12.191546046558,-0.76240996151744,54407.2685394599,25.80065,20.44971,19.15611,18.42035,17.97998,8658200882074026338
12.1915464206975,-0.76240675792033,53655.28172382,22.51797,20.54934,19.1448,18.42642,18.03235,8658194821877203062
12.1915467141788,-0.762400198633787,54008.29706459,24.11036,20.55828,19.16441,18.43688,18.05461,8658197845531295840
12.1915468370276,-0.762408830231022,54012.28460782,25.20175,20.50325,19.13641,18.44686,18.00548,8658197914252673101
12.1915472443223,-0.762404779443983,53634.30436953,21.86112,20.50432,19.09707,18.46439,18.00565,8658194418148573251
12.1915505024216,-0.762399658778767,52577.2412439,23.5828,20.56986,19.15727,18.44443,18.11984,8658185033639657585
12.1915554278528,-0.762426780076033,51819.388708,22.42388,20.50035,19.13771,18.42909,18.05067,8658177822391140400
12.1915603748731,-0.762410651192325,54422.26897658,23.13008,20.51645,19.14814,18.44379,18.08325,8658201092527423571
12.191564508986,-0.762443374659684,54047.31044621,21.4387,20.7271,19.24887,18.42014,18.16077,8658198330839466065
12.1924252408985,-0.769435570743247,54012.28460782,24.90739,25.82354,25.9074,25.65393,19.63974,8658197914252673396
12.1928827176597,-0.770305192533478,54010.29187352,24.77774,22.4573,22.62534,23.19526,22.06984,8658197879891362081
12.1929405953672,-0.770252501433264,53996.33761701,23.74824,22.23001,22.03205,21.65064,22.11511,8658197630777229683
12.192963243408,-0.770152527196145,53634.30436953,25.49507,22.74574,21.69817,23.72537,22.13306,8658194418148573489
12.1929651078112,-0.770325746590232,54357.30973599,25.34758,22.63528,22.623,21.91452,21.79868,8658200156226126106
12.192970547175,-0.770302980986274,52577.2412439,24.00763,23.43205,22.2661,22.31132,22.34791,8658185033639658010
